year,Resource,region,zone,Capacity
2019,conventional_hydroelectric,MIS_Central,1,584.8
2019,conventional_steam_coal,MIS_Central,1,22735.276
2019,hydroelectric_pumped_storage,MIS_Central,1,440
2019,natural_gas_fired_combined_cycle,MIS_Central,1,2562.3
2019,natural_gas_fired_combustion_turbine,MIS_Central,1,7062.68
2019,nuclear,MIS_Central,1,2255
2019,onshore_wind_turbine,MIS_Central,1,3416.994
2019,solar_photovoltaic,MIS_Central,1,202.521
2019,biomass,MIS_East,2,133.75
2019,conventional_steam_coal,MIS_East,2,8602.506
2019,hydroelectric_pumped_storage,MIS_East,2,2152.002
2019,natural_gas_fired_combined_cycle,MIS_East,2,5694.894
2019,natural_gas_fired_combustion_turbine,MIS_East,2,3638.601
2019,nuclear,MIS_East,2,1945.2
2019,onshore_wind_turbine,MIS_East,2,2191.111
2019,solar_photovoltaic,MIS_East,2,158.4
2019,conventional_hydroelectric,NY_East,3,273.1
2019,hydroelectric_pumped_storage,NY_East,3,1168.6
2019,natural_gas_fired_combined_cycle,NY_East,3,7651.604
2019,natural_gas_fired_combustion_turbine,NY_East,3,1917.897
2019,nuclear,NY_East,3,2056.3
2019,small_hydroelectric,NY_East,3,136.89
2019,solar_photovoltaic,NY_East,3,122.706
2019,biomass,NY_West,4,68.82
2019,conventional_hydroelectric,NY_West,4,3397.602
2019,conventional_steam_coal,NY_West,4,1098.999
2019,hydroelectric_pumped_storage,NY_West,4,240
2019,natural_gas_fired_combined_cycle,NY_West,4,2287.107
2019,natural_gas_fired_combustion_turbine,NY_West,4,92.699
2019,natural_gas_steam_turbine,NY_West,4,149.5
2019,nuclear,NY_West,4,3346.7
2019,onshore_wind_turbine,NY_West,4,2545.416
2019,small_hydroelectric,NY_West,4,344.736
2019,solar_photovoltaic,NY_West,4,315.48
2019,conventional_steam_coal,PJM_COMD,5,3887.201
2019,natural_gas_fired_combined_cycle,PJM_COMD,5,3644.905
2019,natural_gas_fired_combustion_turbine,PJM_COMD,5,7135.664
2019,natural_gas_steam_turbine,PJM_COMD,5,1378.2
2019,nuclear,PJM_COMD,5,10517.4
2019,onshore_wind_turbine,PJM_COMD,5,3013.5
2019,solar_photovoltaic,PJM_COMD,5,38.6
2019,biomass,PJM_Delaware,6,7.781
2019,conventional_hydroelectric,PJM_Delaware,6,572
2019,conventional_steam_coal,PJM_Delaware,6,410
2019,natural_gas_fired_combined_cycle,PJM_Delaware,6,2308.6
2019,natural_gas_fired_combustion_turbine,PJM_Delaware,6,1237.197
2019,natural_gas_steam_turbine,PJM_Delaware,6,813.1
2019,solar_photovoltaic,PJM_Delaware,6,252.291
2019,biomass,PJM_Dom,7,128.544
2019,conventional_hydroelectric,PJM_Dom,7,611.592
2019,conventional_steam_coal,PJM_Dom,7,2356.4
2019,hydroelectric_pumped_storage,PJM_Dom,7,3003
2019,natural_gas_fired_combined_cycle,PJM_Dom,7,8554.196
2019,natural_gas_fired_combustion_turbine,PJM_Dom,7,3862.29
2019,nuclear,PJM_Dom,7,3568
2019,onshore_wind_turbine,PJM_Dom,7,208
2019,small_hydroelectric,PJM_Dom,7,1655.895
2019,solar_photovoltaic,PJM_Dom,7,1187.607
2019,biomass,PJM_NJCoast,8,29.145
2019,conventional_steam_coal,PJM_NJCoast,8,463
2019,natural_gas_fired_combined_cycle,PJM_NJCoast,8,1469.1
2019,natural_gas_fired_combustion_turbine,PJM_NJCoast,8,963.102
2019,onshore_wind_turbine,PJM_NJCoast,8,7.5
2019,solar_photovoltaic,PJM_NJCoast,8,0
2019,biomass,PJM_NJLand,9,51.627
2019,hydroelectric_pumped_storage,PJM_NJLand,9,420
2019,natural_gas_fired_combined_cycle,PJM_NJLand,9,5458.3
2019,natural_gas_fired_combustion_turbine,PJM_NJLand,9,426.2
2019,nuclear,PJM_NJLand,9,3500.199
2019,solar_photovoltaic,PJM_NJLand,9,0
2019,biomass,PJM_PECO,10,88.254
2019,natural_gas_fired_combined_cycle,PJM_PECO,10,2647.8
2019,natural_gas_fired_combustion_turbine,PJM_PECO,10,114
2019,natural_gas_steam_turbine,PJM_PECO,10,816.6
2019,nuclear,PJM_PECO,10,2241.8
2019,solar_photovoltaic,PJM_PECO,10,13
2019,conventional_hydroelectric,PJM_SMAC,11,249.004
2019,conventional_steam_coal,PJM_SMAC,11,4086.995
2019,hydroelectric_pumped_storage,PJM_SMAC,11,1070
2019,natural_gas_fired_combined_cycle,PJM_SMAC,11,2280.5
2019,natural_gas_fired_combustion_turbine,PJM_SMAC,11,907.108
2019,nuclear,PJM_SMAC,11,4176.2
2019,onshore_wind_turbine,PJM_SMAC,11,3.2
2019,solar_photovoltaic,PJM_SMAC,11,39.008
2019,biomass,PJM_WEST,12,61.664
2019,conventional_hydroelectric,PJM_WEST,12,1179.2
2019,conventional_steam_coal,PJM_WEST,12,35827.92
2019,hydroelectric_pumped_storage,PJM_WEST,12,237.999
2019,natural_gas_fired_combined_cycle,PJM_WEST,12,16112.307
2019,natural_gas_fired_combustion_turbine,PJM_WEST,12,12022.897
2019,nuclear,PJM_WEST,12,6118.998
2019,onshore_wind_turbine,PJM_WEST,12,3479.879
2019,small_hydroelectric,PJM_WEST,12,94.336
2019,solar_photovoltaic,PJM_WEST,12,510.582
2019,conventional_hydroelectric,PJM_WestMAC,13,494.703
2019,conventional_steam_coal,PJM_WestMAC,13,8382.202
2019,hydroelectric_pumped_storage,PJM_WestMAC,13,513
