Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,Capacity,Charging Capacity,Energy Capacity,Capacity Expansion,Energy Capacity Expansion,Charging Capacity Expansion,Capacity Retirement,Energy Capacity Retirement,Charging Capacity Retirement
WECC,currentpolicy_10ci_adv_nocip,2030,Battery,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Biomass,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CC,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,17955.701,0,0,0.001,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CT,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Geothermal,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,1236.513,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Hydro,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Nuclear,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Offshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Onshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,6063.2,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Pumped hydro,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,3425.4,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip,2030,Utility Solar,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,26469.711,0,0,14162.611,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Battery,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Biomass,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,196.549,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,17955.701,0,0,0.001,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9900.219,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Geothermal,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1236.513,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,9079.901,0,0,0,0,0,0,0,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0,0,0,0,0,0,0,0,0
