Studyregion_table,case,year,Fuel,Scenario,TechSensitivity,AnnualOutput
WECC,currentpolicy_10ci_adv_nocip,2030,Biomass,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,1717052.1
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CC,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,28532647.97
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
WECC,currentpolicy_10ci_adv_nocip,2030,Gas CT,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.601103961
WECC,currentpolicy_10ci_adv_nocip,2030,Geothermal,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,10802177.5
WECC,currentpolicy_10ci_adv_nocip,2030,Hydro,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,20647237.43
WECC,currentpolicy_10ci_adv_nocip,2030,Nuclear,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0
WECC,currentpolicy_10ci_adv_nocip,2030,Offshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,0.041276354
WECC,currentpolicy_10ci_adv_nocip,2030,Onshore Wind,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,19458618.36
WECC,currentpolicy_10ci_adv_nocip,2030,Utility Solar,"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,65661268.19
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Biomass,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1717052.1
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,28532647.97
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CC w/CCS,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Gas CT,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.601103961
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Geothermal,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,10802177.5
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Hydro,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,20647237.43
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Nuclear,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Offshore Wind,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,0.041276354
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Onshore Wind,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,19458618.36
WECC,currentpolicy_10ci_adv_nocip_noccszcf,2030,Utility Solar,"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,65661268.19
WECC,currentpolicy_10ci_nocip,2030,Biomass,"10% CI Part., Curt. Tech.",No 24x7 Purchase,1717052.1
WECC,currentpolicy_10ci_nocip,2030,Gas CC,"10% CI Part., Curt. Tech.",No 24x7 Purchase,28492309.01
WECC,currentpolicy_10ci_nocip,2030,Gas CC w/CCS,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0
WECC,currentpolicy_10ci_nocip,2030,Gas CT,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0.797506984
WECC,currentpolicy_10ci_nocip,2030,Geothermal,"10% CI Part., Curt. Tech.",No 24x7 Purchase,10802177.5
WECC,currentpolicy_10ci_nocip,2030,Hydro,"10% CI Part., Curt. Tech.",No 24x7 Purchase,20644992.83
WECC,currentpolicy_10ci_nocip,2030,Nuclear,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0
WECC,currentpolicy_10ci_nocip,2030,Offshore Wind,"10% CI Part., Curt. Tech.",No 24x7 Purchase,0.070251196
WECC,currentpolicy_10ci_nocip,2030,Onshore Wind,"10% CI Part., Curt. Tech.",No 24x7 Purchase,19458618.76
WECC,currentpolicy_10ci_nocip,2030,Utility Solar,"10% CI Part., Curt. Tech.",No 24x7 Purchase,65661320.26
WECC,currentpolicy_25ci_adv_nocip,2030,Biomass,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,1717052.1
WECC,currentpolicy_25ci_adv_nocip,2030,Gas CC,"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,28532619.76
