Studyregion_table,Scenario,TechSensitivity,ci_emission_system,ci_lsecost,systemcost,system_emission,Participated Load,ci_abatementcost_perton,system_abatementcost_perton
WECC,"5% CI Part., Curt. Tech.",No 24x7 Purchase,1751287.014,495613318.9,7535468054,47903051.25,9686870,,
WECC,"10% CI Part., Curt. Tech.",No 24x7 Purchase,3502558.006,991198317.5,7535468054,47903051.25,19373558,,
WECC,"25% CI Part., Curt. Tech.",No 24x7 Purchase,8756336.772,2477969883,7535468495,47903088.22,48433708,,
WECC,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,1228141.905,1132436739,9189090625,17447428.32,19373558,,
WECC,"5% CI Part., Curt. Tech.",Annual 100%,1205586.67,495118709.4,7552289086,46775025.97,9686870,-0.91,14.91
WECC,"10% CI Part., Curt. Tech.",Annual 100%,2410316.252,996479664.4,7575524776,45713697.3,19373558,4.84,18.3
WECC,"25% CI Part., Curt. Tech.",Annual 100%,6003131.427,2543977859,7656958887,43019804.65,48433708,23.97,24.88
WECC,"10% CI Part., Curt. Tech., 80% CES",Annual 100%,984344.5114,1343445722,9383084021,16844330.72,19373558,865.51,321.66
PJM,"5% CI Part., Curt. Tech.",No 24x7 Purchase,7465953.832,1182300849,33928111318,222780384.8,27881901,,
PJM,"10% CI Part., Curt. Tech.",No 24x7 Purchase,14931996.26,2356740888,33928111318,222780527.3,55764156,,
PJM,"25% CI Part., Curt. Tech.",No 24x7 Purchase,37330005.67,5891832595,33928111318,222780527.3,139410422,,
PJM,"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,4797679.486,2976312299,38911350068,73172714.91,55764156,,
PJM,"5% CI Part., Curt. Tech.",Annual 100%,1851536.531,1243450812,33935055786,216740140.2,27881901,10.89,-18.85
PJM,"10% CI Part., Curt. Tech.",Annual 100%,4359498.329,2516636409,34060263790,210604467.9,55764156,15.12,10.85
PJM,"25% CI Part., Curt. Tech.",Annual 100%,12068469.64,6442241511,34496640220,192776624.5,139410422,21.79,18.95
PJM,"10% CI Part., Curt. Tech., 80% CES",Annual 100%,2032280.497,3226641566,39150683824,71151657.11,55764156,90.52,118.42
