Scenario,TechSensitivity,ci_emission_system,ci_lsecost,system_emission,systemcost,Participated Load
"5% CI Part., Curt. Tech.",Annual 100%,3998125.74468214,1273905724.3716784,218833975.986842,33806496638.7877,27881901
"5% CI Part., Curt. Tech.",No 24x7 Purchase,7455499.47220643,1161272477.0471373,224864953.811301,33675032929.282608,27881901
"10% CI Part., Curt. Tech.",Annual 100%,7245910.31961054,2567940961.7655225,212682894.956288,33962148146.754974,55764156
"10% CI Part., Curt. Tech.",No 24x7 Purchase,14911072.2907897,2322563457.6865087,224864953.811301,33675032929.282608,55764156
"25% CI Part., Curt. Tech.",Annual 100%,16976595.2479856,6664189926.869377,195565916.948207,34530326907.15818,139410422
"25% CI Part., Curt. Tech.",No 24x7 Purchase,37277703.0629575,5806390120.057377,224864953.811301,33675032929.282608,139410422
"10% CI Part., Curt. Tech., 80% CES",Annual 100%,2554912.41319135,3365509541.7472444,71567279.7869544,39701232329.943855,55764156
"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,4801992.28479442,3095671856.4597797,73779129.3066007,39306667095.384636,55764156
"5% CI Part., Adv. Tech. Full",Annual 100%,3998340.83308115,1273890896.9051664,218836622.766689,33806920865.78264,27881901
"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,7455714.39767506,1161293030.6627498,224871241.111574,33675283983.224876,27881901
"10% CI Part., Adv. Tech. Full",Annual 100%,7246582.21713509,2567994342.077217,212687638.655199,33962272569.624645,55764156
"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,14911502.0497868,2322604556.4868503,224871240.792137,33675283491.729862,55764156
"25% CI Part., Adv. Tech. Full",Annual 100%,16976042.3185198,6664137741.251278,195567253.487302,34530676115.20314,139410422
"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,37278777.6659224,5806492843.69722,224871241.111574,33675283983.224876,139410422
"10% CI Part., Adv. Tech. Full, 80% CES",Annual 100%,1443032.94469042,3259144679.4953647,71141084.198305,39387682905.35478,55764156
"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,4775345.5436707,2994143993.106155,73238508.3444515,39088206445.157974,55764156
"5% CI Part., Adv. Tech. no Comb.",Annual 100%,3998484.28323688,1273962955.7994702,218836603.663181,33806922715.88515,27881901
"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,7455713.92140377,1161293023.9515946,224871242.791231,33675283909.93241,27881901
"10% CI Part., Adv. Tech. no Comb.",Annual 100%,7246484.22587487,2568002462.86408,212687642.988583,33962271959.76408,55764156
"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,14911501.1714372,2322604559.2920904,224871242.791231,33675283909.93241,55764156
"25% CI Part., Adv. Tech. no Comb.",Annual 100%,16976041.8865136,6664137814.989894,195567252.279432,34530676429.43838,139410422
"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,37278789.7039105,5806492812.559002,224871322.227106,33675283450.23491,139410422
"10% CI Part., Adv. Tech. no Comb., 80% CES",Annual 100%,2555668.73460267,3365561871.569136,71563498.6003745,39701995723.05874,55764156
"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,4802111.56684454,3095770680.3806415,73779156.8922929,39307137876.00399,55764156
"10% CI Part., Adv. Tech. Full, no 45Q",Annual 100%,7245974.57902685,2568001698.6227956,212687648.448956,33962272122.763367,55764156
"10% CI Part., Adv. Tech. Full, no 45Q",No 24x7 Purchase,14911501.466954,2322604557.557356,224871249.627434,33675283205.591988,55764156
"10% CI Part., Adv. Tech. no Comb., no Ex. Limit",Annual 100%,7250250.98079162,2567949125.501705,212687646.359066,33962271854.585827,55764156
"10% CI Part., Adv. Tech. no Comb., no Ex. Limit",No 24x7 Purchase,14911501.1714372,2322604559.2920904,224871242.791231,33675283909.93241,55764156
"10% CI Part., Adv. Tech. Full, Hi. Nat. Gas P.",Annual 100%,12228836.0386797,2672844307.9494925,363094298.842969,36345409748.876396,55764156
"10% CI Part., Adv. Tech. Full, Hi. Nat. Gas P.",No 24x7 Purchase,24858072.8284426,2568573418.250025,375064137.068088,36174406532.27819,55764156
