Scenario,TechSensitivity,ci_emission_system,ci_lsecost,system_emission,systemcost,Participated Load
"10% CI Part., Adv. Tech. no Comb., no Ex. Limit",Annual 100%,2150159.25084064,972101767.4576182,41381604.1592863,7760051650.395488,19373558
"10% CI Part., Adv. Tech. no Comb., no Ex. Limit",No 24x7 Purchase,3136124.64835363,944434277.9401369,43832909.2181985,7690510271.028307,19373558
"5% CI Part., Curt. Tech.",Annual 100%,1082466.68468635,478504985.7132588,42565728.1333474,7722113720.268797,9686870
"5% CI Part., Curt. Tech.",No 24x7 Purchase,1567662.6525032,472105589.7560429,43819961.5303382,7689966408.145654,9686870
"10% CI Part., Curt. Tech.",Annual 100%,2149370.41583576,972064641.4587069,41372665.218192,7759418193.072651,19373558
"10% CI Part., Curt. Tech.",No 24x7 Purchase,3135337.07009417,944194768.3603358,43820325.9271243,7689966329.032392,19373558
"25% CI Part., Curt. Tech.",Annual 100%,5281397.62644687,2516252269.4077296,38448855.5119403,7895004407.114507,48433708
"25% CI Part., Curt. Tech.",No 24x7 Purchase,7838284.69461805,2360449515.2292433,43820325.9271243,7689966329.032392,48433708
"10% CI Part., Curt. Tech., 80% CES",Annual 100%,662173.531879054,1357762955.9946156,16443006.8827954,9771567015.276806,19373558
"10% CI Part., Curt. Tech., 80% CES",No 24x7 Purchase,1177326.59732681,1148303579.090489,16881782.3343077,9587008006.986362,19373558
"5% CI Part., Adv. Tech. Full",Annual 100%,1082730.20290123,478687065.28338474,42577160.4671174,7723500868.413215,9686870
"5% CI Part., Adv. Tech. Full",No 24x7 Purchase,1568064.54229448,472225530.07710034,43832791.5817504,7690510442.353637,9686870
"10% CI Part., Adv. Tech. Full",Annual 100%,2150577.06424159,972185745.5073062,41386168.1773738,7760051525.647915,19373558
"10% CI Part., Adv. Tech. Full",No 24x7 Purchase,3136114.66822317,944434518.4167717,43832791.5817504,7690510442.353637,19373558
"25% CI Part., Adv. Tech. Full",Annual 100%,5281748.08828598,2516704668.18092,38461243.6734156,7896216803.126528,48433708
"25% CI Part., Adv. Tech. Full",No 24x7 Purchase,7840228.77055876,2361048879.8424544,43832791.5817504,7690510442.353637,48433708
"10% CI Part., Adv. Tech. Full, 80% CES",Annual 100%,407791.688805632,1220220807.806386,11317894.8702796,9085482565.81857,19373558
"10% CI Part., Adv. Tech. Full, 80% CES",No 24x7 Purchase,833992.528786612,1066491502.0887417,11854626.4592709,8982454773.056505,19373558
"5% CI Part., Adv. Tech. no Comb.",Annual 100%,1082780.32159178,478660041.1662694,42577989.1938571,7723500763.265335,9686870
"5% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,1568083.21782021,472225363.31481487,43833273.7661065,7690510421.984092,9686870
"10% CI Part., Adv. Tech. no Comb.",Annual 100%,2150132.45479385,972218077.8632197,41381606.4074457,7760051606.262452,19373558
"10% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,3136124.64835363,944434277.9401369,43832909.2181985,7690510271.028307,19373558
"25% CI Part., Adv. Tech. no Comb.",Annual 100%,5280727.05684827,2516626637.989201,38455927.8988757,7896215813.215425,48433708
"25% CI Part., Adv. Tech. no Comb.",No 24x7 Purchase,7840253.72147256,2361048279.073981,43832909.2181985,7690510271.028307,48433708
"10% CI Part., Adv. Tech. no Comb., 80% CES",Annual 100%,531489.352390379,1347381626.2352324,16298331.5783172,9762100419.516985,19373558
"10% CI Part., Adv. Tech. no Comb., 80% CES",No 24x7 Purchase,1173707.82381928,1147983002.8963373,16838043.0590695,9582723931.380539,19373558
"10% CI Part., Adv. Tech. Full, no 45Q",Annual 100%,2150631.34130247,972185757.408442,41386825.2940601,7760051221.559342,19373558
"10% CI Part., Adv. Tech. Full, no 45Q",No 24x7 Purchase,3136176.67618612,944434167.6892636,43833638.5209967,7690510429.337602,19373558
"10% CI Part., Adv. Tech. Full, Hi. Nat. Gas P.",Annual 100%,1940087.44158467,1055337973.539591,37265552.6444799,8900012325.677395,19373558
"10% CI Part., Adv. Tech. Full, Hi. Nat. Gas P.",No 24x7 Purchase,2788510.78631167,1040516020.4411043,39039902.8094299,8859630993.093391,19373558
