TechSensitivity,year,Cost Type,value
Medium RE Cost,2019,NJ DG Cost,"597,056,015"
Medium RE Cost,2030,NJ DG Cost,1201636320
Medium RE Cost,2040,NJ DG Cost,1475131307
Medium RE Cost,2050,NJ DG Cost,1857774234
Low RE Cost,2019,NJ DG Cost,"597,056,015"
Low RE Cost,2030,NJ DG Cost,1127106039
Low RE Cost,2040,NJ DG Cost,1227981040
Low RE Cost,2050,NJ DG Cost,1496035803
High RE Cost,2019,NJ DG Cost,"597,056,015"
High RE Cost,2030,NJ DG Cost,1441996421
High RE Cost,2040,NJ DG Cost,2156969267
High RE Cost,2050,NJ DG Cost,2481229863
