TechSensitivity,year,Cost Type,value
Medium RE Cost,2019,NJ DG Cost,"597,056,015"
Medium RE Cost,2030,NJ DG Cost,744962171.6
Medium RE Cost,2040,NJ DG Cost,317964406.7
Medium RE Cost,2050,NJ DG Cost,311640767.9
Low RE Cost,2019,NJ DG Cost,"597,056,015"
Low RE Cost,2030,NJ DG Cost,713612414.9
Low RE Cost,2040,NJ DG Cost,281757118.9
Low RE Cost,2050,NJ DG Cost,275418553.4
High RE Cost,2019,NJ DG Cost,"597,056,015"
High RE Cost,2030,NJ DG Cost,843889621.5
High RE Cost,2040,NJ DG Cost,424159657.4
High RE Cost,2050,NJ DG Cost,406118093.2
