SCENARIO,Year,GenX.Region,DG_Capacity
current_policy,2022,MIS_Central,528.38
current_policy,2022,MIS_East,130.382
current_policy,2022,NY_East,1434.86
current_policy,2022,NY_West,504.14
current_policy,2022,PJM_COMD,460.836
current_policy,2022,PJM_Delaware,380.884
current_policy,2022,PJM_Dom,176.792
current_policy,2022,PJM_NJCoast,1411.605
current_policy,2022,PJM_NJLand,2715.895
current_policy,2022,PJM_PECO,157.301
current_policy,2022,PJM_SMAC,2081.507
current_policy,2022,PJM_WEST,651.447
current_policy,2022,PJM_WestMAC,155.353
current_policy,2022,SC_TVA,126.825
current_policy,2022,SC_VACA,488.78
current_policy,2025,MIS_Central,528.38
current_policy,2025,MIS_East,130.382
current_policy,2025,NY_East,1434.86
current_policy,2025,NY_West,504.14
current_policy,2025,PJM_COMD,460.836
current_policy,2025,PJM_Delaware,487.792
current_policy,2025,PJM_Dom,176.792
current_policy,2025,PJM_NJCoast,1796.355
current_policy,2025,PJM_NJLand,3456.145
current_policy,2025,PJM_PECO,157.301
current_policy,2025,PJM_SMAC,2821.495
current_policy,2025,PJM_WEST,727.551
current_policy,2025,PJM_WestMAC,155.353
current_policy,2025,SC_TVA,126.825
current_policy,2025,SC_VACA,488.78
current_policy,2030,MIS_Central,528.38
current_policy,2030,MIS_East,130.382
current_policy,2030,NY_East,1434.86
current_policy,2030,NY_West,504.14
current_policy,2030,PJM_COMD,460.836
current_policy,2030,PJM_Delaware,599.184
current_policy,2030,PJM_Dom,176.792
current_policy,2030,PJM_NJCoast,1924.776
current_policy,2030,PJM_NJLand,3703.224
current_policy,2030,PJM_PECO,157.301
current_policy,2030,PJM_SMAC,3624.807
current_policy,2030,PJM_WEST,806.847
current_policy,2030,PJM_WestMAC,155.353
current_policy,2030,SC_TVA,126.825
current_policy,2030,SC_VACA,488.78
current_policy,2040,MIS_Central,528.38
current_policy,2040,MIS_East,130.382
current_policy,2040,NY_East,1434.86
current_policy,2040,NY_West,504.14
current_policy,2040,PJM_COMD,460.836
current_policy,2040,PJM_Delaware,631.162
current_policy,2040,PJM_Dom,176.792
current_policy,2040,PJM_NJCoast,1924.776
current_policy,2040,PJM_NJLand,3703.224
current_policy,2040,PJM_PECO,157.301
current_policy,2040,PJM_SMAC,3999.065
current_policy,2040,PJM_WEST,829.611
current_policy,2040,PJM_WestMAC,155.353
current_policy,2040,SC_TVA,126.825
current_policy,2040,SC_VACA,488.78
current_policy,2050,MIS_Central,528.38
current_policy,2050,MIS_East,130.382
current_policy,2050,NY_East,1434.86
current_policy,2050,NY_West,504.14
current_policy,2050,PJM_COMD,460.836
current_policy,2050,PJM_Delaware,657.594
current_policy,2050,PJM_Dom,176.792
current_policy,2050,PJM_NJCoast,1924.776
current_policy,2050,PJM_NJLand,3703.224
current_policy,2050,PJM_PECO,157.301
current_policy,2050,PJM_SMAC,4206.817
current_policy,2050,PJM_WEST,848.427
current_policy,2050,PJM_WestMAC,155.353
current_policy,2050,SC_TVA,126.825
current_policy,2050,SC_VACA,488.78
deep_decarbonization,2022,MIS_Central,528.38
deep_decarbonization,2022,MIS_East,130.382
deep_decarbonization,2022,NY_East,1434.86
deep_decarbonization,2022,NY_West,504.14
deep_decarbonization,2022,PJM_COMD,460.836
deep_decarbonization,2022,PJM_Delaware,379.35
deep_decarbonization,2022,PJM_Dom,176.792
deep_decarbonization,2022,PJM_NJCoast,1411.605
deep_decarbonization,2022,PJM_NJLand,2715.895
deep_decarbonization,2022,PJM_PECO,157.301
deep_decarbonization,2022,PJM_SMAC,2071.133
deep_decarbonization,2022,PJM_WEST,650.355
deep_decarbonization,2022,PJM_WestMAC,155.353
deep_decarbonization,2022,SC_TVA,126.825
deep_decarbonization,2022,SC_VACA,488.78
deep_decarbonization,2025,MIS_Central,528.38
deep_decarbonization,2025,MIS_East,130.382
deep_decarbonization,2025,NY_East,1434.86
deep_decarbonization,2025,NY_West,504.14
deep_decarbonization,2025,PJM_COMD,460.836
deep_decarbonization,2025,PJM_Delaware,486.494
deep_decarbonization,2025,PJM_Dom,176.792
deep_decarbonization,2025,PJM_NJCoast,1796.355
deep_decarbonization,2025,PJM_NJLand,3456.145
deep_decarbonization,2025,PJM_PECO,157.301
deep_decarbonization,2025,PJM_SMAC,2811.717
deep_decarbonization,2025,PJM_WEST,726.627
deep_decarbonization,2025,PJM_WestMAC,155.353
deep_decarbonization,2025,SC_TVA,126.825
deep_decarbonization,2025,SC_VACA,488.78
deep_decarbonization,2030,MIS_Central,528.38
deep_decarbonization,2030,MIS_East,130.382
deep_decarbonization,2030,NY_East,1434.86
deep_decarbonization,2030,NY_West,504.14
deep_decarbonization,2030,PJM_COMD,460.836
deep_decarbonization,2030,PJM_Delaware,632.106
deep_decarbonization,2030,PJM_Dom,176.792
deep_decarbonization,2030,PJM_NJCoast,1924.776
deep_decarbonization,2030,PJM_NJLand,3703.224
deep_decarbonization,2030,PJM_PECO,157.301
deep_decarbonization,2030,PJM_SMAC,3858.449
deep_decarbonization,2030,PJM_WEST,830.283
deep_decarbonization,2030,PJM_WestMAC,155.353
deep_decarbonization,2030,SC_TVA,126.825
deep_decarbonization,2030,SC_VACA,488.78
deep_decarbonization,2040,MIS_Central,551.104
deep_decarbonization,2040,MIS_East,130.382
deep_decarbonization,2040,NY_East,1434.86
deep_decarbonization,2040,NY_West,504.14
deep_decarbonization,2040,PJM_COMD,530.112
deep_decarbonization,2040,PJM_Delaware,814.888
deep_decarbonization,2040,PJM_Dom,176.792
