SCENARIO,Year,GenX.Region,base_TWh,water_heat_TWh,space_heat_TWh,ldev_TWh,mhbev_TWh,dg_TWh,dg_TWh_curtail,Total_TWh
current_policy,2022,MIS_Central,172.05,11.09,29.88,1.68,0,1.05,0,213.66
current_policy,2022,MIS_East,142.5,1.96,7.21,0.71,0,0.24,0,152.14
current_policy,2022,NY_East,92.88,3.35,11.74,0.47,0,2.7,0,105.74
current_policy,2022,NY_West,48.24,1.18,4.12,0.16,0,0.95,0,52.76
current_policy,2022,PJM_COMD,84.13,3.29,11.23,0.56,0,0.88,0,98.33
current_policy,2022,PJM_Delaware,14.68,0.69,2.65,0.11,0,0.74,0,17.39
current_policy,2022,PJM_Dom,82.95,4.78,14.87,0.64,0,0.35,0,102.89
current_policy,2022,PJM_NJCoast,18.49,0.84,3.69,0.2,0,3.61,0,19.61
current_policy,2022,PJM_NJLand,50.52,1.62,7.1,0.38,0,6.94,0,52.67
current_policy,2022,PJM_PECO,33.58,2.64,6.02,0.31,0,0.3,0,42.26
current_policy,2022,PJM_SMAC,43.26,3.66,12.78,0.48,0,4.08,0,56.09
current_policy,2022,PJM_WEST,278.51,14.72,36.21,2.18,0.01,1.25,0,330.37
current_policy,2022,PJM_WestMAC,67.56,2.61,5.95,0.31,0,0.29,0,76.13
current_policy,2022,SC_TVA,79.65,21.74,60.07,2.81,0.01,0.25,0,164.01
current_policy,2022,SC_VACA,185.98,10.89,26.58,1.2,0,0.97,0,223.7
current_policy,2025,MIS_Central,174.64,11.37,28.86,2.62,0.01,1.05,0,216.45
current_policy,2025,MIS_East,145.95,2.13,7.08,1.09,0,0.24,0,156.01
current_policy,2025,NY_East,96.55,3.63,11.86,1.4,0.01,2.7,0,110.76
current_policy,2025,NY_West,48.1,1.28,4.17,0.49,0,0.95,0,53.09
current_policy,2025,PJM_COMD,84.89,3.51,10.88,0.87,0,0.88,0,99.27
current_policy,2025,PJM_Delaware,14.77,0.73,2.58,0.24,0,0.95,0,17.37
current_policy,2025,PJM_Dom,84.96,4.94,14.35,1.01,0,0.35,0,104.92
current_policy,2025,PJM_NJCoast,18.6,0.92,3.68,0.43,0,3.61,0,20.02
current_policy,2025,PJM_NJLand,50.82,1.76,7.08,0.83,0,6.94,0,53.55
current_policy,2025,PJM_PECO,33.78,2.75,5.9,0.49,0,0.3,0,42.63
current_policy,2025,PJM_SMAC,43.52,3.85,12.48,1.16,0,5.53,0,55.49
current_policy,2025,PJM_WEST,287.81,15.11,34.79,3.43,0.02,1.4,0,339.75
current_policy,2025,PJM_WestMAC,67.96,2.72,5.83,0.48,0,0.29,0,76.7
current_policy,2025,SC_TVA,80.61,21.86,56.82,4.44,0.02,0.25,0,163.49
current_policy,2025,SC_VACA,192.19,10.91,24.85,1.9,0.01,0.97,0,228.89
current_policy,2030,MIS_Central,179.05,12.41,28.53,4.05,0.04,1.05,0,223.03
current_policy,2030,MIS_East,151.88,2.5,7.47,1.68,0.01,0.24,0,163.3
current_policy,2030,NY_East,102.99,4.15,13.49,3.13,0.01,2.7,0,121.09
current_policy,2030,NY_West,47.86,1.46,4.74,1.1,0,0.95,0,54.21
current_policy,2030,PJM_COMD,86.17,4.05,11.22,1.35,0.01,0.88,0,101.92
current_policy,2030,PJM_Delaware,14.92,0.83,2.5,0.27,0,1.17,0,17.35
current_policy,2030,PJM_Dom,88.41,5.52,14.01,1.58,0.01,0.35,0,109.18
current_policy,2030,PJM_NJCoast,18.78,1.05,3.97,0.46,0,3.61,0,20.65
current_policy,2030,PJM_NJLand,51.33,2.02,7.64,0.88,0.01,6.94,0,54.93
current_policy,2030,PJM_PECO,34.12,3,6.36,0.74,0.01,0.3,0,43.94
