year,Network_lines,Transmission Path Name,Trans Capacity
2019,1,MIS_Central_to_MIS_East,100
2019,2,MIS_Central_to_PJM_COMD,7055
2019,3,MIS_Central_to_PJM_WEST,11917
2019,4,MIS_Central_to_SC_TVA,2000
2019,5,MIS_East_to_PJM_WEST,4836
2019,6,NY_East_to_NY_West,3599
2019,7,NY_East_to_PJM_NJLand,2235
2019,8,NY_West_to_PJM_WestMAC,2500
2019,9,PJM_COMD_to_PJM_WEST,4000
2019,10,PJM_Delaware_to_PJM_PECO,725
2019,11,PJM_Delaware_to_PJM_SMAC,300
2019,12,PJM_Dom_to_PJM_SMAC,2800
2019,13,PJM_Dom_to_PJM_WEST,11800
2019,14,PJM_Dom_to_SC_VACA,2598
2019,15,PJM_NJCoast_to_PJM_NJLand,680
2019,16,PJM_NJLand_to_PJM_PECO,3000
2019,17,PJM_NJLand_to_PJM_WestMAC,4000
2019,18,PJM_SMAC_to_PJM_WEST,2200
2019,19,PJM_SMAC_to_PJM_WestMAC,2500
2019,20,PJM_WEST_to_PJM_WestMAC,7177.78396
2019,21,PJM_WEST_to_SC_TVA,4504
2019,22,PJM_WEST_to_SC_VACA,2208
2019,23,SC_TVA_to_SC_VACA,276
