case,year,name,capacity_revenue,capacity_revenue_perMW,Scenario,TechSensitivity
currentpolicy_mid,2030,PJM_COMD,712044.0581411165,1478.1534384,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_Delaware,824708.0721305533,1316.7371449441039,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_Dom,208470.9775917997,1128.085569269578,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_NJCoast,2575282.4705615207,1279.9815996,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_NJLand,4954783.232834739,1279.9815996,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_PECO,209281.19842617054,1272.7930044,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_SMAC,4287135.4441247815,1131.4656302021249,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_WEST,992649.532540348,1176.9656917388247,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_WestMAC,178289.27046300273,1097.9046216,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_COMD,82101.3184093809,170.43656879999997,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_Delaware,440974.2188072453,668.3922497843203,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_Dom,168276.47774517242,910.5836619788046,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_NJCoast,1633326.8941502462,811.80546,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_NJLand,3142482.737868017,811.8054599999998,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_PECO,125025.04490988098,760.3693199999999,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_SMAC,2483968.6139240195,594.2192139435983,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_WEST,410367.72474617924,473.21417371153956,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_WestMAC,116381.20571531946,716.675004,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_COMD,257140.10634511808,533.8047948,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_Delaware,530194.1584125018,771.3227590552212,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_Dom,164585.3793958749,890.6102592985022,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_NJCoast,1687801.847516789,838.8809124,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_NJLand,3247291.2738773306,838.8809123999999,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_PECO,135541.2362914425,824.32602,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_SMAC,3221880.253363192,732.680822765907,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_WEST,585313.1031871344,659.9831007754236,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_WestMAC,128854.17489118155,793.4834987999999,Current Policy (CP),Mid
statedpolicy_mid,2030,PJM_COMD,720796.4318011549,1496.3227511999999,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_Delaware,852567.795919264,1360.414520550868,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_Dom,218530.29400337973,1182.5189000463913,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_NJCoast,2644406.7320957803,1314.3381348000003,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_NJLand,5087776.695084863,1314.3381347999998,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_PECO,216727.82764409867,1318.0814376,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_SMAC,4416655.758249885,1164.8794344368957,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_WEST,1039477.5895574051,1232.1040100824864,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_WestMAC,182742.52048444055,1125.3277176,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_COMD,58262.70760172324,120.94928759999999,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_Delaware,635092.4523588195,959.9286363594318,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_Dom,164671.62448537402,891.0769517945428,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_NJCoast,2269706.495718281,1128.1024836000001,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_NJLand,4366862.205212365,1128.1024836,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_PECO,175462.79127048343,1067.1183792000002,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_SMAC,2913861.020526908,694.9785999119805,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_WEST,452101.1728005387,520.5483596304958,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_WestMAC,131815.648961584,811.7202444000001,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_COMD,111471.193866259,231.40636679999997,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_Delaware,206564.86970816908,299.2205043004751,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_Dom,67003.79349618152,362.57331069537986,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_NJCoast,639216.2668959866,317.7069192,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_NJLand,1229837.1450805825,317.70691919999996,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_PECO,52273.74021976429,317.91508919999995,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_SMAC,1205433.2054806373,272.88263075289234,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_WEST,224556.2742936688,252.60330759026672,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_WestMAC,48409.02885169026,298.1026079999999,Stated Policy (SP),Mid
statedpolicy_dgsolar_mid,2030,PJM_COMD,702283.9168495539,1457.8920707999998,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_Delaware,773156.8745463201,1233.7011130738788,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_Dom,211149.8966604622,1142.581831423232,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_NJCoast,3365849.5855261553,1186.784718,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_NJLand,6475815.869228684,1186.7847179999999,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_PECO,195915.9561287312,1191.5091287999999,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_SMAC,4268860.4748369325,1125.8988809190137,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_WEST,1006269.4821040554,1192.7420817719938,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_WestMAC,176388.16115362084,1086.1975979999997,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_COMD,48644.15260470425,100.98184319999999,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_Delaware,476979.9247562442,720.9449380818601,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_Dom,148541.51288021545,803.7931181276982,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_NJCoast,4162963.6650559218,845.5178544,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_NJLand,8009444.712300574,845.5178543999998,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_PECO,133657.88062659136,812.8719480000001,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_SMAC,2545715.0652296944,607.1729157103879,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_WEST,392933.133017425,452.4224004323314,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,PJM_WestMAC,117034.9623552118,720.7008347999999,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_COMD,37120.63718504694,77.05983479999999,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_Delaware,133990.8763890933,194.09310819138554,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_Dom,44654.995794362476,241.638701623259,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_NJCoast,1453260.0183440929,216.2120628,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_NJLand,2796038.2809076402,216.21206279999998,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_PECO,35602.31378209925,216.5238744,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_SMAC,741593.259634433,167.879828361761,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_WEST,124767.22970518893,140.35063149110098,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2050,PJM_WestMAC,31909.028570849187,196.49567159999998,SP + High Solar,Mid
statedpolicy_nuclear_mid,2030,PJM_COMD,720796.4318011549,1496.3227511999999,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2030,PJM_Delaware,852567.795919264,1360.414520550868,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2030,PJM_Dom,218530.29400337973,1182.5189000463913,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2030,PJM_NJCoast,2644406.7320957803,1314.3381348000003,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2030,PJM_NJLand,5087776.695084863,1314.3381347999998,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2030,PJM_PECO,216727.82764409867,1318.0814376,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2030,PJM_SMAC,4416655.758249885,1164.8794344368957,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2030,PJM_WEST,1039477.5895574051,1232.1040100824864,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2030,PJM_WestMAC,182742.52048444055,1125.3277176,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2040,PJM_COMD,82643.4165241959,171.56192639999998,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2040,PJM_Delaware,637508.112152255,963.5798543873084,SP + Nuclear,Mid
statedpolicy_nuclear_mid,2040,PJM_Dom,174695.96748274798,945.3210331883978,SP + Nuclear,Mid
