case,year,Scenario,TechSensitivity,capacity_revenue
currentpolicy_doublezcfcost,2030,Current Policy (CP),Doubled ZCF Fuel Price,7530217.99881126
currentpolicy_doublezcfcost,2040,Current Policy (CP),Doubled ZCF Fuel Price,4462426.006149182
currentpolicy_doublezcfcost,2050,Current Policy (CP),Doubled ZCF Fuel Price,6347432.061051731
currentpolicy_highngcost,2030,Current Policy (CP),High NatGas Price,3576277.9757653098
currentpolicy_highngcost,2040,Current Policy (CP),High NatGas Price,2579275.0143060666
currentpolicy_highngcost,2050,Current Policy (CP),High NatGas Price,4706877.810188201
currentpolicy_highrecost,2030,Current Policy (CP),High RE/BESS Cost,33114345.99266538
currentpolicy_highrecost,2040,Current Policy (CP),High RE/BESS Cost,9110753.433528556
currentpolicy_highrecost,2050,Current Policy (CP),High RE/BESS Cost,7204912.71920034
currentpolicy_lowngcost,2030,Current Policy (CP),Low NatGas Price,30421016.043386742
currentpolicy_lowngcost,2040,Current Policy (CP),Low NatGas Price,7674668.678608151
currentpolicy_lowngcost,2050,Current Policy (CP),Low NatGas Price,8641718.718888225
currentpolicy_lowrecost,2030,Current Policy (CP),Low RE/BESS Cost,3383357.728811226
currentpolicy_lowrecost,2040,Current Policy (CP),Low RE/BESS Cost,1899961.02272845
currentpolicy_lowrecost,2050,Current Policy (CP),Low RE/BESS Cost,2581384.1219028477
currentpolicy_mid,2030,Current Policy (CP),Mid,7530065.703396259
currentpolicy_mid,2040,Current Policy (CP),Mid,4775809.632018263
currentpolicy_mid,2050,Current Policy (CP),Mid,4935093.12139412
currentpolicy_noflexibleload,2030,Current Policy (CP),No Flexible Load,4243158.602983359
currentpolicy_noflexibleload,2040,Current Policy (CP),No Flexible Load,2791753.598558182
currentpolicy_noflexibleload,2050,Current Policy (CP),No Flexible Load,13468048.38207763
currentpolicy_nointertrans,2030,Current Policy (CP),No Interregional Transmission Upgrade,13569774.158532241
currentpolicy_nointertrans,2040,Current Policy (CP),No Interregional Transmission Upgrade,3755118.3975911187
currentpolicy_nointertrans,2050,Current Policy (CP),No Interregional Transmission Upgrade,13069637.420520842
