case,year,name,energy_revenue,energy_revenue_permwh,Scenario,TechSensitivity
currentpolicy_mid,2030,MIS_Central,27103153.334577825,26.769909884318707,Current Policy (CP),Mid
currentpolicy_mid,2030,MIS_East,6466254.745521528,28.4183834199404,Current Policy (CP),Mid
currentpolicy_mid,2030,NY_East,42916511.54605786,17.00985622176404,Current Policy (CP),Mid
currentpolicy_mid,2030,NY_West,12481822.466167763,14.080322507050425,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_COMD,21051257.426015843,26.124071157622854,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_Delaware,26682097.912246328,23.680040812821954,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_Dom,8524445.12239432,24.19627529235806,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_NJCoast,73822528.7172025,21.912998713944525,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_NJLand,139421981.5298294,21.51019557436708,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_PECO,6095926.40687011,21.45765992107708,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_SMAC,164487212.9341345,24.028629874179735,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_WEST,35425159.28583828,23.356475569122107,Current Policy (CP),Mid
currentpolicy_mid,2030,PJM_WestMAC,5989463.42332001,21.347272747797227,Current Policy (CP),Mid
currentpolicy_mid,2030,SC_TVA,6569613.552504707,26.79407630913169,Current Policy (CP),Mid
currentpolicy_mid,2030,SC_VACA,26819761.061660398,28.207147188213224,Current Policy (CP),Mid
currentpolicy_mid,2040,MIS_Central,21532827.784851003,20.984862380653194,Current Policy (CP),Mid
currentpolicy_mid,2040,MIS_East,5115437.888784606,22.053236057277182,Current Policy (CP),Mid
currentpolicy_mid,2040,NY_East,32329961.04771532,12.579274352348293,Current Policy (CP),Mid
currentpolicy_mid,2040,NY_West,10135022.728150278,11.223634270656007,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_COMD,18912759.049571317,22.769040986655106,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_Delaware,25229680.76306692,20.86050248657716,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_Dom,7547688.362025069,21.09784757226441,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_NJCoast,64008532.47101463,18.644203016225156,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_NJLand,131209176.05602866,19.86416773743142,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_PECO,5642806.328134598,19.57809474249077,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_SMAC,163318694.34236482,21.204581540016456,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_WEST,32872428.266832124,20.669527030972308,Current Policy (CP),Mid
currentpolicy_mid,2040,PJM_WestMAC,5548856.820339622,19.493536655288615,Current Policy (CP),Mid
currentpolicy_mid,2040,SC_TVA,4905965.975197083,19.759761965914663,Current Policy (CP),Mid
currentpolicy_mid,2040,SC_VACA,20040157.285834406,20.734603957685017,Current Policy (CP),Mid
currentpolicy_mid,2050,MIS_Central,19354377.46028107,19.159738119947328,Current Policy (CP),Mid
currentpolicy_mid,2050,MIS_East,4900832.820902274,20.851375180189077,Current Policy (CP),Mid
currentpolicy_mid,2050,NY_East,35094016.66136154,13.917216007286349,Current Policy (CP),Mid
currentpolicy_mid,2050,NY_West,12118346.008671118,13.67794995062679,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_COMD,17059170.763968293,20.808648724139378,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_Delaware,23378584.217921328,19.310881843784305,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_Dom,6551109.839815955,19.408662784062088,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_NJCoast,63450068.89986548,18.731125962787047,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_NJLand,118314990.90588361,18.153976691461203,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_PECO,5005750.167651201,18.02927163166691,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_SMAC,151809121.41968432,19.51654606070938,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_WEST,29810115.43951839,18.96868981893439,Current Policy (CP),Mid
currentpolicy_mid,2050,PJM_WestMAC,4935561.135184126,17.99937339142221,Current Policy (CP),Mid
currentpolicy_mid,2050,SC_TVA,4284245.110878548,17.73213016893668,Current Policy (CP),Mid
currentpolicy_mid,2050,SC_VACA,18072515.043549296,19.118731724020925,Current Policy (CP),Mid
statedpolicy_mid,2030,MIS_Central,27587297.601693608,26.172003339036156,Stated Policy (SP),Mid
statedpolicy_mid,2030,MIS_East,6729676.144799833,27.492495004218142,Stated Policy (SP),Mid
statedpolicy_mid,2030,NY_East,49427925.04570094,18.879742892890597,Stated Policy (SP),Mid
statedpolicy_mid,2030,NY_West,14616413.665541662,15.889963284702334,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_COMD,21938359.638351936,25.375379762419996,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_Delaware,28842765.952212032,24.627889754344263,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_Dom,8817440.484142434,24.765390449566333,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_NJCoast,83674293.1636625,23.83952747741978,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_NJLand,156494459.78128436,23.174201047375327,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_PECO,6776537.9572749045,23.059038447663852,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_SMAC,176533004.21845353,24.820955526516812,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_WEST,36456924.73849255,23.102963367076235,Stated Policy (SP),Mid
statedpolicy_mid,2030,PJM_WestMAC,6660509.220795289,22.948409516767192,Stated Policy (SP),Mid
statedpolicy_mid,2030,SC_TVA,6489464.269356626,25.607459842966957,Stated Policy (SP),Mid
statedpolicy_mid,2030,SC_VACA,26692601.941901036,27.45145999684955,Stated Policy (SP),Mid
statedpolicy_mid,2040,MIS_Central,21629753.385774735,21.195819925383,Stated Policy (SP),Mid
statedpolicy_mid,2040,MIS_East,5188594.173881475,22.024978831176785,Stated Policy (SP),Mid
statedpolicy_mid,2040,NY_East,23695711.4214629,9.451368685851904,Stated Policy (SP),Mid
statedpolicy_mid,2040,NY_West,7635021.38272844,8.66749464613181,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_COMD,18023565.327351794,21.997532211339564,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_Delaware,27202940.237972464,23.079017328408455,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_Dom,7449763.272271558,22.134561618086764,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_NJCoast,74882526.75751579,22.291698648311957,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_NJLand,143701661.63730744,22.234362166548554,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_PECO,6114088.360904313,21.95277652502547,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_SMAC,174260810.32642114,23.22213717676526,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_WEST,32313323.676278763,20.67281740527311,Stated Policy (SP),Mid
statedpolicy_mid,2040,PJM_WestMAC,5955046.18418482,21.649841379622703,Stated Policy (SP),Mid
statedpolicy_mid,2040,SC_TVA,4863385.130095385,19.725314080133487,Stated Policy (SP),Mid
statedpolicy_mid,2040,SC_VACA,20070196.05436776,21.296414106757403,Stated Policy (SP),Mid
statedpolicy_mid,2050,MIS_Central,19319997.49012162,19.489820824961562,Stated Policy (SP),Mid
statedpolicy_mid,2050,MIS_East,4626059.586234888,20.409255708644665,Stated Policy (SP),Mid
statedpolicy_mid,2050,NY_East,19055373.70598067,7.702844167890948,Stated Policy (SP),Mid
statedpolicy_mid,2050,NY_West,6198301.428325237,7.1312343035035335,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_COMD,16697369.663038362,20.860776307771253,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_Delaware,24967346.910990756,20.745928125762788,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_Dom,6640309.928855361,20.220173520398312,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_NJCoast,72647578.89642367,21.87545559998178,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_NJLand,131221678.38181345,20.537225053584642,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_PECO,5461297.729380811,19.86447868605592,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_SMAC,160518140.26308855,20.766026470610328,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_WEST,28870885.204502128,18.572665356719497,Stated Policy (SP),Mid
statedpolicy_mid,2050,PJM_WestMAC,5325770.5451167,19.614426277645777,Stated Policy (SP),Mid
statedpolicy_mid,2050,SC_TVA,4148844.5398758263,17.121363091083907,Stated Policy (SP),Mid
statedpolicy_mid,2050,SC_VACA,17822153.45825976,19.375049004319852,Stated Policy (SP),Mid
statedpolicy_dgsolar_mid,2030,MIS_Central,27593947.216220558,26.178311812454442,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,MIS_East,6728236.120853547,27.486612128088982,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,NY_East,48917373.049098775,18.684729842668713,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,NY_West,14422838.186941525,15.67952128995869,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_COMD,22010543.81105249,25.45887282321888,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_Delaware,28850911.565932333,24.634845026145083,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_Dom,8898362.10268656,24.992673580386473,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_NJCoast,111227608.66331387,22.481049263349238,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_NJLand,215406151.4911257,22.6288399676514,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_PECO,6636601.890599416,22.582867405454778,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_SMAC,177520010.36309615,24.959730911488208,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_WEST,36406109.425733954,23.070761410450178,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,PJM_WestMAC,6609508.0797564285,22.77268795681079,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,SC_TVA,6487295.90513917,25.598903466459017,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2030,SC_VACA,26668001.167690087,27.426159834257184,SP + High Solar,Mid
statedpolicy_dgsolar_mid,2040,MIS_Central,21650227.359297574,21.215883152559346,SP + High Solar,Mid
