case,year,Scenario,TechSensitivity,energy_revenue
currentpolicy_doublezcfcost,2030,Current Policy (CP),Doubled ZCF Fuel Price,213244801.8699366
currentpolicy_doublezcfcost,2040,Current Policy (CP),Doubled ZCF Fuel Price,195103937.60270774
currentpolicy_doublezcfcost,2050,Current Policy (CP),Doubled ZCF Fuel Price,183608658.77175942
currentpolicy_highngcost,2030,Current Policy (CP),High NatGas Price,263504386.1995923
currentpolicy_highngcost,2040,Current Policy (CP),High NatGas Price,216126459.28460288
currentpolicy_highngcost,2050,Current Policy (CP),High NatGas Price,210942998.9713255
currentpolicy_highrecost,2030,Current Policy (CP),High RE/BESS Cost,212825195.26958776
currentpolicy_highrecost,2040,Current Policy (CP),High RE/BESS Cost,211913946.71328586
currentpolicy_highrecost,2050,Current Policy (CP),High RE/BESS Cost,209651094.15486372
currentpolicy_lowngcost,2030,Current Policy (CP),Low NatGas Price,185178025.09563154
currentpolicy_lowngcost,2040,Current Policy (CP),Low NatGas Price,162328613.10823104
currentpolicy_lowngcost,2050,Current Policy (CP),Low NatGas Price,152154480.86416575
currentpolicy_lowrecost,2030,Current Policy (CP),Low RE/BESS Cost,212968115.8579059
currentpolicy_lowrecost,2040,Current Policy (CP),Low RE/BESS Cost,171560331.90556556
currentpolicy_lowrecost,2050,Current Policy (CP),Low RE/BESS Cost,161198584.09606647
currentpolicy_mid,2030,Current Policy (CP),Mid,213244510.24703193
currentpolicy_mid,2040,Current Policy (CP),Mid,195217708.52704328
currentpolicy_mid,2050,Current Policy (CP),Mid,181765059.8057491
currentpolicy_noflexibleload,2030,Current Policy (CP),No Flexible Load,210817567.1725014
currentpolicy_noflexibleload,2040,Current Policy (CP),No Flexible Load,191433329.89844412
currentpolicy_noflexibleload,2050,Current Policy (CP),No Flexible Load,176263849.78539118
currentpolicy_nointertrans,2030,Current Policy (CP),No Interregional Transmission Upgrade,214436263.52032316
currentpolicy_nointertrans,2040,Current Policy (CP),No Interregional Transmission Upgrade,208047825.18184274
currentpolicy_nointertrans,2050,Current Policy (CP),No Interregional Transmission Upgrade,214378802.04214102
deepdecarbonization_dgsolar_doublezcfcost,2030,DD + High Solar,Doubled ZCF Fuel Price,390165426.0882391
deepdecarbonization_dgsolar_doublezcfcost,2040,DD + High Solar,Doubled ZCF Fuel Price,531460135.1360539
deepdecarbonization_dgsolar_doublezcfcost,2050,DD + High Solar,Doubled ZCF Fuel Price,685123303.6428509
deepdecarbonization_dgsolar_highngcost,2030,DD + High Solar,High NatGas Price,393914379.594657
deepdecarbonization_dgsolar_highngcost,2040,DD + High Solar,High NatGas Price,537909837.1184033
deepdecarbonization_dgsolar_highngcost,2050,DD + High Solar,High NatGas Price,719853535.097039
deepdecarbonization_dgsolar_highrecost,2030,DD + High Solar,High RE/BESS Cost,444106433.55070317
deepdecarbonization_dgsolar_highrecost,2040,DD + High Solar,High RE/BESS Cost,708206096.4748461
deepdecarbonization_dgsolar_highrecost,2050,DD + High Solar,High RE/BESS Cost,768999409.0994874
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2030,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,390165023.44051594
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2040,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,531460567.55710137
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2050,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,685122196.6888952
deepdecarbonization_dgsolar_instaterps_highngcost,2030,DD + High Solar + 80% Instate,High NatGas Price,393916658.55054903
deepdecarbonization_dgsolar_instaterps_highngcost,2040,DD + High Solar + 80% Instate,High NatGas Price,537905744.6050379
deepdecarbonization_dgsolar_instaterps_highngcost,2050,DD + High Solar + 80% Instate,High NatGas Price,719244005.5187736
deepdecarbonization_dgsolar_instaterps_highrecost,2030,DD + High Solar + 80% Instate,High RE/BESS Cost,444107984.5469332
deepdecarbonization_dgsolar_instaterps_highrecost,2040,DD + High Solar + 80% Instate,High RE/BESS Cost,708207208.8252478
deepdecarbonization_dgsolar_instaterps_highrecost,2050,DD + High Solar + 80% Instate,High RE/BESS Cost,747448713.1168369
deepdecarbonization_dgsolar_instaterps_lowngcost,2030,DD + High Solar + 80% Instate,Low NatGas Price,394558066.7148037
deepdecarbonization_dgsolar_instaterps_lowngcost,2040,DD + High Solar + 80% Instate,Low NatGas Price,535207888.14096713
deepdecarbonization_dgsolar_instaterps_lowngcost,2050,DD + High Solar + 80% Instate,Low NatGas Price,693012049.6823114
deepdecarbonization_dgsolar_instaterps_lowrecost,2030,DD + High Solar + 80% Instate,Low RE/BESS Cost,357011493.80182517
deepdecarbonization_dgsolar_instaterps_lowrecost,2040,DD + High Solar + 80% Instate,Low RE/BESS Cost,465236835.45982563
deepdecarbonization_dgsolar_instaterps_lowrecost,2050,DD + High Solar + 80% Instate,Low RE/BESS Cost,659367158.6417878
deepdecarbonization_dgsolar_instaterps_mid,2030,DD + High Solar + 80% Instate,Mid,390165023.44051594
deepdecarbonization_dgsolar_instaterps_mid,2040,DD + High Solar + 80% Instate,Mid,535052262.61822057
deepdecarbonization_dgsolar_instaterps_mid,2050,DD + High Solar + 80% Instate,Mid,727387556.1289591
