case,year,Scenario,TechSensitivity,rps_revenue
currentpolicy_doublezcfcost,2030,Current Policy (CP),Doubled ZCF Fuel Price,43708686
currentpolicy_doublezcfcost,2040,Current Policy (CP),Doubled ZCF Fuel Price,0
currentpolicy_doublezcfcost,2050,Current Policy (CP),Doubled ZCF Fuel Price,1430434
currentpolicy_highngcost,2030,Current Policy (CP),High NatGas Price,4693165
currentpolicy_highngcost,2040,Current Policy (CP),High NatGas Price,0
currentpolicy_highngcost,2050,Current Policy (CP),High NatGas Price,0
currentpolicy_highrecost,2030,Current Policy (CP),High RE/BESS Cost,79203770
currentpolicy_highrecost,2040,Current Policy (CP),High RE/BESS Cost,48447234
currentpolicy_highrecost,2050,Current Policy (CP),High RE/BESS Cost,16713903
currentpolicy_lowngcost,2030,Current Policy (CP),Low NatGas Price,65533292
currentpolicy_lowngcost,2040,Current Policy (CP),Low NatGas Price,27940635
currentpolicy_lowngcost,2050,Current Policy (CP),Low NatGas Price,28294126
currentpolicy_lowrecost,2030,Current Policy (CP),Low RE/BESS Cost,29342543
currentpolicy_lowrecost,2040,Current Policy (CP),Low RE/BESS Cost,0
currentpolicy_lowrecost,2050,Current Policy (CP),Low RE/BESS Cost,0
currentpolicy_mid,2030,Current Policy (CP),Mid,43708711
currentpolicy_mid,2040,Current Policy (CP),Mid,0
currentpolicy_mid,2050,Current Policy (CP),Mid,1976196
currentpolicy_noflexibleload,2030,Current Policy (CP),No Flexible Load,48326817
currentpolicy_noflexibleload,2040,Current Policy (CP),No Flexible Load,2356505
currentpolicy_noflexibleload,2050,Current Policy (CP),No Flexible Load,4416213
currentpolicy_nointertrans,2030,Current Policy (CP),No Interregional Transmission Upgrade,39984555
currentpolicy_nointertrans,2040,Current Policy (CP),No Interregional Transmission Upgrade,0
currentpolicy_nointertrans,2050,Current Policy (CP),No Interregional Transmission Upgrade,0
deepdecarbonization_dgsolar_doublezcfcost,2030,DD + High Solar,Doubled ZCF Fuel Price,0
deepdecarbonization_dgsolar_doublezcfcost,2040,DD + High Solar,Doubled ZCF Fuel Price,-38
deepdecarbonization_dgsolar_doublezcfcost,2050,DD + High Solar,Doubled ZCF Fuel Price,-63
deepdecarbonization_dgsolar_highngcost,2030,DD + High Solar,High NatGas Price,-2
deepdecarbonization_dgsolar_highngcost,2040,DD + High Solar,High NatGas Price,0
deepdecarbonization_dgsolar_highngcost,2050,DD + High Solar,High NatGas Price,-3
deepdecarbonization_dgsolar_highrecost,2030,DD + High Solar,High RE/BESS Cost,0
deepdecarbonization_dgsolar_highrecost,2040,DD + High Solar,High RE/BESS Cost,-2
deepdecarbonization_dgsolar_highrecost,2050,DD + High Solar,High RE/BESS Cost,-6
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2030,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,-4
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2040,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,-15
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2050,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,2337
deepdecarbonization_dgsolar_instaterps_highngcost,2030,DD + High Solar + 80% Instate,High NatGas Price,0
deepdecarbonization_dgsolar_instaterps_highngcost,2040,DD + High Solar + 80% Instate,High NatGas Price,-3
deepdecarbonization_dgsolar_instaterps_highngcost,2050,DD + High Solar + 80% Instate,High NatGas Price,6484611
deepdecarbonization_dgsolar_instaterps_highrecost,2030,DD + High Solar + 80% Instate,High RE/BESS Cost,-1
deepdecarbonization_dgsolar_instaterps_highrecost,2040,DD + High Solar + 80% Instate,High RE/BESS Cost,-30
deepdecarbonization_dgsolar_instaterps_highrecost,2050,DD + High Solar + 80% Instate,High RE/BESS Cost,162666360
deepdecarbonization_dgsolar_instaterps_lowngcost,2030,DD + High Solar + 80% Instate,Low NatGas Price,-1
deepdecarbonization_dgsolar_instaterps_lowngcost,2040,DD + High Solar + 80% Instate,Low NatGas Price,-14
deepdecarbonization_dgsolar_instaterps_lowngcost,2050,DD + High Solar + 80% Instate,Low NatGas Price,6232608
deepdecarbonization_dgsolar_instaterps_lowrecost,2030,DD + High Solar + 80% Instate,Low RE/BESS Cost,-2
deepdecarbonization_dgsolar_instaterps_lowrecost,2040,DD + High Solar + 80% Instate,Low RE/BESS Cost,-7
deepdecarbonization_dgsolar_instaterps_lowrecost,2050,DD + High Solar + 80% Instate,Low RE/BESS Cost,-176
deepdecarbonization_dgsolar_instaterps_mid,2030,DD + High Solar + 80% Instate,Mid,-4
deepdecarbonization_dgsolar_instaterps_mid,2040,DD + High Solar + 80% Instate,Mid,-47
deepdecarbonization_dgsolar_instaterps_mid,2050,DD + High Solar + 80% Instate,Mid,8658
deepdecarbonization_dgsolar_instaterps_noflexibleload,2030,DD + High Solar + 80% Instate,No Flexible Load,-3
deepdecarbonization_dgsolar_instaterps_noflexibleload,2040,DD + High Solar + 80% Instate,No Flexible Load,-22
deepdecarbonization_dgsolar_instaterps_noflexibleload,2050,DD + High Solar + 80% Instate,No Flexible Load,-47
deepdecarbonization_dgsolar_instaterps_nointertrans,2030,DD + High Solar + 80% Instate,No Interregional Transmission Upgrade,-3
deepdecarbonization_dgsolar_instaterps_nointertrans,2040,DD + High Solar + 80% Instate,No Interregional Transmission Upgrade,-17
