case,year,Scenario,TechSensitivity,nonsrec_capacity_revenue
currentpolicy_doublezcfcost,2030,Current Policy (CP),Doubled ZCF Fuel Price,2509403.670357235
currentpolicy_doublezcfcost,2040,Current Policy (CP),Doubled ZCF Fuel Price,1487078.8867329054
currentpolicy_doublezcfcost,2050,Current Policy (CP),Doubled ZCF Fuel Price,2115246.771588934
currentpolicy_highngcost,2030,Current Policy (CP),High NatGas Price,1191774.9366645056
currentpolicy_highngcost,2040,Current Policy (CP),High NatGas Price,859529.1914234236
currentpolicy_highngcost,2050,Current Policy (CP),High NatGas Price,1568541.1039459794
currentpolicy_highrecost,2030,Current Policy (CP),High RE/BESS Cost,11035173.402495367
currentpolicy_highrecost,2040,Current Policy (CP),High RE/BESS Cost,3036108.3981135054
currentpolicy_highrecost,2050,Current Policy (CP),High RE/BESS Cost,2400997.47776479
currentpolicy_lowngcost,2030,Current Policy (CP),Low NatGas Price,10137636.032226695
currentpolicy_lowngcost,2040,Current Policy (CP),Low NatGas Price,2557541.0637401547
currentpolicy_lowngcost,2050,Current Policy (CP),Low NatGas Price,2879805.1629841626
currentpolicy_lowrecost,2030,Current Policy (CP),Low RE/BESS Cost,1127485.3270052336
currentpolicy_lowrecost,2040,Current Policy (CP),Low RE/BESS Cost,633151.5455094541
currentpolicy_lowrecost,2050,Current Policy (CP),Low RE/BESS Cost,860232.0399127204
currentpolicy_mid,2030,Current Policy (CP),Mid,2509352.918749056
currentpolicy_mid,2040,Current Policy (CP),Mid,1591512.2538824186
currentpolicy_mid,2050,Current Policy (CP),Mid,1644592.5993558408
currentpolicy_noflexibleload,2030,Current Policy (CP),No Flexible Load,1414009.2323907763
currentpolicy_noflexibleload,2040,Current Policy (CP),No Flexible Load,930336.5092565512
currentpolicy_noflexibleload,2050,Current Policy (CP),No Flexible Load,4488152.938981271
currentpolicy_nointertrans,2030,Current Policy (CP),No Interregional Transmission Upgrade,4522052.493661553
currentpolicy_nointertrans,2040,Current Policy (CP),No Interregional Transmission Upgrade,1251372.522153899
currentpolicy_nointertrans,2050,Current Policy (CP),No Interregional Transmission Upgrade,4355384.680559141
deepdecarbonization_dgsolar_doublezcfcost,2030,DD + High Solar,Doubled ZCF Fuel Price,1128010.4769967697
deepdecarbonization_dgsolar_doublezcfcost,2040,DD + High Solar,Doubled ZCF Fuel Price,2658775.100519181
deepdecarbonization_dgsolar_doublezcfcost,2050,DD + High Solar,Doubled ZCF Fuel Price,4619483.421272691
deepdecarbonization_dgsolar_highngcost,2030,DD + High Solar,High NatGas Price,792195.8594695218
deepdecarbonization_dgsolar_highngcost,2040,DD + High Solar,High NatGas Price,2730506.898439339
deepdecarbonization_dgsolar_highngcost,2050,DD + High Solar,High NatGas Price,3412111.438994211
deepdecarbonization_dgsolar_highrecost,2030,DD + High Solar,High RE/BESS Cost,2428469.132019325
deepdecarbonization_dgsolar_highrecost,2040,DD + High Solar,High RE/BESS Cost,669239.6587645249
deepdecarbonization_dgsolar_highrecost,2050,DD + High Solar,High RE/BESS Cost,595028.5691804937
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2030,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,1128022.1140321214
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2040,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,2658781.8624728955
deepdecarbonization_dgsolar_instaterps_doublezcfcost,2050,DD + High Solar + 80% Instate,Doubled ZCF Fuel Price,4620503.878068709
deepdecarbonization_dgsolar_instaterps_highngcost,2030,DD + High Solar + 80% Instate,High NatGas Price,792144.0670580142
deepdecarbonization_dgsolar_instaterps_highngcost,2040,DD + High Solar + 80% Instate,High NatGas Price,2730507.061832273
