case,year,Scenario,TechSensitivity,nonsrec_energy_revenue
currentpolicy_doublezcfcost,2030,Current Policy (CP),Doubled ZCF Fuel Price,76130637.87670237
currentpolicy_doublezcfcost,2040,Current Policy (CP),Doubled ZCF Fuel Price,68350249.92670572
currentpolicy_doublezcfcost,2050,Current Policy (CP),Doubled ZCF Fuel Price,65191813.734153144
currentpolicy_highngcost,2030,Current Policy (CP),High NatGas Price,94073838.27775298
currentpolicy_highngcost,2040,Current Policy (CP),High NatGas Price,75715014.72183296
currentpolicy_highngcost,2050,Current Policy (CP),High NatGas Price,74897103.37984042
currentpolicy_highrecost,2030,Current Policy (CP),High RE/BESS Cost,75980833.9055776
currentpolicy_highrecost,2040,Current Policy (CP),High RE/BESS Cost,74239256.25889915
currentpolicy_highrecost,2050,Current Policy (CP),High RE/BESS Cost,74438401.60226397
currentpolicy_lowngcost,2030,Current Policy (CP),Low NatGas Price,66110503.269744344
currentpolicy_lowngcost,2040,Current Policy (CP),Low NatGas Price,56868156.59659514
currentpolicy_lowngcost,2050,Current Policy (CP),Low NatGas Price,54023740.71935175
currentpolicy_lowrecost,2030,Current Policy (CP),Low RE/BESS Cost,76031858.05931528
currentpolicy_lowrecost,2040,Current Policy (CP),Low RE/BESS Cost,60102280.39134793
currentpolicy_lowrecost,2050,Current Policy (CP),Low RE/BESS Cost,57234926.38581559
currentpolicy_mid,2030,Current Policy (CP),Mid,76130533.76425715
currentpolicy_mid,2040,Current Policy (CP),Mid,68390106.99575454
currentpolicy_mid,2050,Current Policy (CP),Mid,64537228.263094135
currentpolicy_noflexibleload,2030,Current Policy (CP),No Flexible Load,75264089.55209225
currentpolicy_noflexibleload,2040,Current Policy (CP),No Flexible Load,67064335.572274834
currentpolicy_noflexibleload,2050,Current Policy (CP),No Flexible Load,62583976.92212421
currentpolicy_nointertrans,2030,Current Policy (CP),No Interregional Transmission Upgrade,76556002.22159684
currentpolicy_nointertrans,2040,Current Policy (CP),No Interregional Transmission Upgrade,72884848.05900288
currentpolicy_nointertrans,2050,Current Policy (CP),No Interregional Transmission Upgrade,76117014.44132401
deepdecarbonization_dgsolar_doublezcfcost,2030,DD + High Solar,Doubled ZCF Fuel Price,214416129.25332475
deepdecarbonization_dgsolar_doublezcfcost,2040,DD + High Solar,Doubled ZCF Fuel Price,415258892.9319432
deepdecarbonization_dgsolar_doublezcfcost,2050,DD + High Solar,Doubled ZCF Fuel Price,587247099.7197652
deepdecarbonization_dgsolar_highngcost,2030,DD + High Solar,High NatGas Price,216476373.56470823
deepdecarbonization_dgsolar_highngcost,2040,DD + High Solar,High NatGas Price,420299086.1531737
deepdecarbonization_dgsolar_highngcost,2050,DD + High Solar,High NatGas Price,616990993.8821565
deepdecarbonization_dgsolar_highrecost,2030,DD + High Solar,High RE/BESS Cost,244059509.3551551
deepdecarbonization_dgsolar_highrecost,2040,DD + High Solar,High RE/BESS Cost,553366316.1790689
deepdecarbonization_dgsolar_highrecost,2050,DD + High Solar,High RE/BESS Cost,659112883.2868352
