case,year,Scenario,TechSensitivity,nonsrec_energy_revenue,nonsrec_capacity_revenue,nonsrec_rps_revenue,nonsrec_revenue,capacity,output,capacityfactor,nonsrec_revenue_permwh
currentpolicy_doublezcfcost,2030,Current Policy (CP),Doubled ZCF Fuel Price,76130637.87670237,2509403.670357235,14565679,93205720.5470596,1960.4601499999999,3516754.1880281805,0.20477639269406397,26.503336759888636
currentpolicy_doublezcfcost,2040,Current Policy (CP),Doubled ZCF Fuel Price,68350249.92670572,1487078.8867329054,0,69837328.81343862,1960.4601499999999,3516754.1880281805,0.20477639269406397,19.858461831418456
currentpolicy_doublezcfcost,2050,Current Policy (CP),Doubled ZCF Fuel Price,65191813.734153144,2115246.771588934,476684,67783744.50574207,1960.4601499999999,3516754.1880281805,0.20477639269406397,19.274518741313546
currentpolicy_highngcost,2030,Current Policy (CP),High NatGas Price,94073838.27775298,1191774.9366645056,1563971,96829584.21441749,1960.4601499999999,3516754.1880281805,0.20477639269406397,27.533793673736735
currentpolicy_highngcost,2040,Current Policy (CP),High NatGas Price,75715014.72183296,859529.1914234236,0,76574543.91325638,1960.4601499999999,3516754.1880281805,0.20477639269406397,21.77420991604511
currentpolicy_highngcost,2050,Current Policy (CP),High NatGas Price,74897103.37984042,1568541.1039459794,0,76465644.4837864,1960.4601499999999,3516754.1880281805,0.20477639269406397,21.743244024303035
currentpolicy_highrecost,2030,Current Policy (CP),High RE/BESS Cost,75980833.9055776,11035173.402495367,26394220,113410227.30807297,1960.4601499999999,3516754.1880281805,0.20477639269406397,32.24855114814302
currentpolicy_highrecost,2040,Current Policy (CP),High RE/BESS Cost,74239256.25889915,3036108.3981135054,16144774,93420138.65701266,1960.4601499999999,3516754.1880281805,0.20477639269406397,26.56430721687508
currentpolicy_highrecost,2050,Current Policy (CP),High RE/BESS Cost,74438401.60226397,2400997.47776479,5569816,82409215.08002876,1960.4601499999999,3516754.1880281805,0.20477639269406397,23.433316823953234
currentpolicy_lowngcost,2030,Current Policy (CP),Low NatGas Price,66110503.269744344,10137636.032226695,21838608,98086747.30197103,1960.4601499999999,3516754.1880281805,0.20477639269406397,27.891271910866077
