case,year,Scenario,TechSensitivity,nonsrec_rps_revenue
currentpolicy_doublezcfcost,2030,Current Policy (CP),Doubled ZCF Fuel Price,14565679
currentpolicy_doublezcfcost,2040,Current Policy (CP),Doubled ZCF Fuel Price,0
currentpolicy_doublezcfcost,2050,Current Policy (CP),Doubled ZCF Fuel Price,476684
currentpolicy_highngcost,2030,Current Policy (CP),High NatGas Price,1563971
currentpolicy_highngcost,2040,Current Policy (CP),High NatGas Price,0
currentpolicy_highngcost,2050,Current Policy (CP),High NatGas Price,0
currentpolicy_highrecost,2030,Current Policy (CP),High RE/BESS Cost,26394220
currentpolicy_highrecost,2040,Current Policy (CP),High RE/BESS Cost,16144774
currentpolicy_highrecost,2050,Current Policy (CP),High RE/BESS Cost,5569816
currentpolicy_lowngcost,2030,Current Policy (CP),Low NatGas Price,21838608
currentpolicy_lowngcost,2040,Current Policy (CP),Low NatGas Price,9311062
currentpolicy_lowngcost,2050,Current Policy (CP),Low NatGas Price,9428862
currentpolicy_lowrecost,2030,Current Policy (CP),Low RE/BESS Cost,9778241
currentpolicy_lowrecost,2040,Current Policy (CP),Low RE/BESS Cost,0
currentpolicy_lowrecost,2050,Current Policy (CP),Low RE/BESS Cost,0
currentpolicy_mid,2030,Current Policy (CP),Mid,14565687
currentpolicy_mid,2040,Current Policy (CP),Mid,0
currentpolicy_mid,2050,Current Policy (CP),Mid,658557
currentpolicy_noflexibleload,2030,Current Policy (CP),No Flexible Load,16104645
currentpolicy_noflexibleload,2040,Current Policy (CP),No Flexible Load,785292
currentpolicy_noflexibleload,2050,Current Policy (CP),No Flexible Load,1471679
currentpolicy_nointertrans,2030,Current Policy (CP),No Interregional Transmission Upgrade,13324633
currentpolicy_nointertrans,2040,Current Policy (CP),No Interregional Transmission Upgrade,0
currentpolicy_nointertrans,2050,Current Policy (CP),No Interregional Transmission Upgrade,0
deepdecarbonization_dgsolar_doublezcfcost,2030,DD + High Solar,Doubled ZCF Fuel Price,0
deepdecarbonization_dgsolar_doublezcfcost,2040,DD + High Solar,Doubled ZCF Fuel Price,-27
deepdecarbonization_dgsolar_doublezcfcost,2050,DD + High Solar,Doubled ZCF Fuel Price,-51
deepdecarbonization_dgsolar_highngcost,2030,DD + High Solar,High NatGas Price,-2
deepdecarbonization_dgsolar_highngcost,2040,DD + High Solar,High NatGas Price,0
deepdecarbonization_dgsolar_highngcost,2050,DD + High Solar,High NatGas Price,-3
