case,year,Fuel,Scenario,TechSensitivity,Total Subsidy
currentpolicy_doublezcfcost,2030,Nuclear,Current Policy (CP),Doubled ZCF Fuel Price,10.66
currentpolicy_doublezcfcost,2030,Offshore Wind,Current Policy (CP),Doubled ZCF Fuel Price,40.5
currentpolicy_doublezcfcost,2030,Utility Solar,Current Policy (CP),Doubled ZCF Fuel Price,10.83
currentpolicy_doublezcfcost,2040,Offshore Wind,Current Policy (CP),Doubled ZCF Fuel Price,36.08
currentpolicy_doublezcfcost,2040,Utility Solar,Current Policy (CP),Doubled ZCF Fuel Price,5.83
currentpolicy_doublezcfcost,2050,Offshore Wind,Current Policy (CP),Doubled ZCF Fuel Price,32.78
currentpolicy_doublezcfcost,2050,Utility Solar,Current Policy (CP),Doubled ZCF Fuel Price,0.27
currentpolicy_highngcost,2030,Nuclear,Current Policy (CP),High NatGas Price,3.64
currentpolicy_highngcost,2030,Offshore Wind,Current Policy (CP),High NatGas Price,33.8
currentpolicy_highngcost,2030,Utility Solar,Current Policy (CP),High NatGas Price,5.9
currentpolicy_highngcost,2040,Offshore Wind,Current Policy (CP),High NatGas Price,29.82
currentpolicy_highngcost,2040,Utility Solar,Current Policy (CP),High NatGas Price,2.99
currentpolicy_highngcost,2050,Offshore Wind,Current Policy (CP),High NatGas Price,26.92
currentpolicy_highngcost,2050,Utility Solar,Current Policy (CP),High NatGas Price,2.45
currentpolicy_highrecost,2030,Nuclear,Current Policy (CP),High RE/BESS Cost,10.49
currentpolicy_highrecost,2030,Offshore Wind,Current Policy (CP),High RE/BESS Cost,52.71
currentpolicy_highrecost,2030,Utility Solar,Current Policy (CP),High RE/BESS Cost,15.01
currentpolicy_highrecost,2040,Offshore Wind,Current Policy (CP),High RE/BESS Cost,62.1
currentpolicy_highrecost,2040,Utility Solar,Current Policy (CP),High RE/BESS Cost,12.73
currentpolicy_highrecost,2050,Offshore Wind,Current Policy (CP),High RE/BESS Cost,60.58
currentpolicy_highrecost,2050,Utility Solar,Current Policy (CP),High RE/BESS Cost,1.76
currentpolicy_lowngcost,2030,Nuclear,Current Policy (CP),Low NatGas Price,13.46
currentpolicy_lowngcost,2030,Offshore Wind,Current Policy (CP),Low NatGas Price,43.2
currentpolicy_lowngcost,2030,Utility Solar,Current Policy (CP),Low NatGas Price,12.21
currentpolicy_lowngcost,2040,Offshore Wind,Current Policy (CP),Low NatGas Price,40.17
currentpolicy_lowngcost,2040,Utility Solar,Current Policy (CP),Low NatGas Price,8.87
currentpolicy_lowngcost,2050,Offshore Wind,Current Policy (CP),Low NatGas Price,37.16
currentpolicy_lowngcost,2050,Utility Solar,Current Policy (CP),Low NatGas Price,2.78
currentpolicy_lowrecost,2030,Nuclear,Current Policy (CP),Low RE/BESS Cost,10.7
currentpolicy_lowrecost,2030,Offshore Wind,Current Policy (CP),Low RE/BESS Cost,34.6
currentpolicy_lowrecost,2030,Utility Solar,Current Policy (CP),Low RE/BESS Cost,9.07
currentpolicy_lowrecost,2040,Offshore Wind,Current Policy (CP),Low RE/BESS Cost,24.57
currentpolicy_lowrecost,2040,Utility Solar,Current Policy (CP),Low RE/BESS Cost,3.49
currentpolicy_lowrecost,2050,Offshore Wind,Current Policy (CP),Low RE/BESS Cost,22.54
currentpolicy_lowrecost,2050,Utility Solar,Current Policy (CP),Low RE/BESS Cost,2.47
currentpolicy_mid,2030,Nuclear,Current Policy (CP),Mid,10.66
currentpolicy_mid,2030,Offshore Wind,Current Policy (CP),Mid,40.5
currentpolicy_mid,2030,Utility Solar,Current Policy (CP),Mid,10.83
currentpolicy_mid,2040,Offshore Wind,Current Policy (CP),Mid,36.19
currentpolicy_mid,2040,Utility Solar,Current Policy (CP),Mid,5.78
currentpolicy_mid,2050,Offshore Wind,Current Policy (CP),Mid,32.98
currentpolicy_mid,2050,Utility Solar,Current Policy (CP),Mid,0.4
currentpolicy_noflexibleload,2030,Nuclear,Current Policy (CP),No Flexible Load,10.61
currentpolicy_noflexibleload,2030,Offshore Wind,Current Policy (CP),No Flexible Load,40.14
currentpolicy_noflexibleload,2030,Utility Solar,Current Policy (CP),No Flexible Load,11.5
currentpolicy_noflexibleload,2040,Offshore Wind,Current Policy (CP),No Flexible Load,35.76
currentpolicy_noflexibleload,2040,Utility Solar,Current Policy (CP),No Flexible Load,6.16
currentpolicy_noflexibleload,2050,Offshore Wind,Current Policy (CP),No Flexible Load,32.3
currentpolicy_noflexibleload,2050,Utility Solar,Current Policy (CP),No Flexible Load,0.76
currentpolicy_nointertrans,2030,Nuclear,Current Policy (CP),No Interregional Transmission Upgrade,10.73
currentpolicy_nointertrans,2030,Offshore Wind,Current Policy (CP),No Interregional Transmission Upgrade,40.32
currentpolicy_nointertrans,2030,Utility Solar,Current Policy (CP),No Interregional Transmission Upgrade,10.21
currentpolicy_nointertrans,2040,Offshore Wind,Current Policy (CP),No Interregional Transmission Upgrade,36.06
currentpolicy_nointertrans,2040,Utility Solar,Current Policy (CP),No Interregional Transmission Upgrade,4.71
currentpolicy_nointertrans,2050,Offshore Wind,Current Policy (CP),No Interregional Transmission Upgrade,30.88
currentpolicy_nointertrans,2050,Utility Solar,Current Policy (CP),No Interregional Transmission Upgrade,1.96
deepdecarbonization_doublezcfcost,2030,Nuclear,Deep Decarbonization (DD),Doubled ZCF Fuel Price,0
deepdecarbonization_doublezcfcost,2030,Offshore Wind,Deep Decarbonization (DD),Doubled ZCF Fuel Price,32.4
deepdecarbonization_doublezcfcost,2030,Utility Solar,Deep Decarbonization (DD),Doubled ZCF Fuel Price,3.22
deepdecarbonization_doublezcfcost,2040,Nuclear,Deep Decarbonization (DD),Doubled ZCF Fuel Price,0
deepdecarbonization_doublezcfcost,2040,Offshore Wind,Deep Decarbonization (DD),Doubled ZCF Fuel Price,12.65
deepdecarbonization_doublezcfcost,2040,Utility Solar,Deep Decarbonization (DD),Doubled ZCF Fuel Price,0
deepdecarbonization_doublezcfcost,2050,Nuclear,Deep Decarbonization (DD),Doubled ZCF Fuel Price,0
deepdecarbonization_doublezcfcost,2050,Offshore Wind,Deep Decarbonization (DD),Doubled ZCF Fuel Price,0
deepdecarbonization_doublezcfcost,2050,Utility Solar,Deep Decarbonization (DD),Doubled ZCF Fuel Price,0
deepdecarbonization_highngcost,2030,Nuclear,Deep Decarbonization (DD),High NatGas Price,0
deepdecarbonization_highngcost,2030,Offshore Wind,Deep Decarbonization (DD),High NatGas Price,30.19
deepdecarbonization_highngcost,2030,Utility Solar,Deep Decarbonization (DD),High NatGas Price,2.37
deepdecarbonization_highngcost,2040,Nuclear,Deep Decarbonization (DD),High NatGas Price,0
deepdecarbonization_highngcost,2040,Offshore Wind,Deep Decarbonization (DD),High NatGas Price,9.4
deepdecarbonization_highngcost,2040,Utility Solar,Deep Decarbonization (DD),High NatGas Price,0
deepdecarbonization_highngcost,2050,Nuclear,Deep Decarbonization (DD),High NatGas Price,0
deepdecarbonization_highngcost,2050,Offshore Wind,Deep Decarbonization (DD),High NatGas Price,0
deepdecarbonization_highngcost,2050,Utility Solar,Deep Decarbonization (DD),High NatGas Price,0
deepdecarbonization_highrecost,2030,Nuclear,Deep Decarbonization (DD),High RE/BESS Cost,0
deepdecarbonization_highrecost,2030,Offshore Wind,Deep Decarbonization (DD),High RE/BESS Cost,42.67
deepdecarbonization_highrecost,2030,Utility Solar,Deep Decarbonization (DD),High RE/BESS Cost,4.99
deepdecarbonization_highrecost,2040,Nuclear,Deep Decarbonization (DD),High RE/BESS Cost,0
deepdecarbonization_highrecost,2040,Offshore Wind,Deep Decarbonization (DD),High RE/BESS Cost,36.49
deepdecarbonization_highrecost,2040,Utility Solar,Deep Decarbonization (DD),High RE/BESS Cost,1.25
deepdecarbonization_highrecost,2050,Nuclear,Deep Decarbonization (DD),High RE/BESS Cost,0
deepdecarbonization_highrecost,2050,Offshore Wind,Deep Decarbonization (DD),High RE/BESS Cost,29.08
deepdecarbonization_highrecost,2050,Utility Solar,Deep Decarbonization (DD),High RE/BESS Cost,0
deepdecarbonization_lowngcost,2030,Nuclear,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowngcost,2030,Offshore Wind,Deep Decarbonization (DD),Low NatGas Price,32.23
deepdecarbonization_lowngcost,2030,Utility Solar,Deep Decarbonization (DD),Low NatGas Price,3
deepdecarbonization_lowngcost,2040,Nuclear,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowngcost,2040,Offshore Wind,Deep Decarbonization (DD),Low NatGas Price,14.6
deepdecarbonization_lowngcost,2040,Utility Solar,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowngcost,2050,Nuclear,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowngcost,2050,Offshore Wind,Deep Decarbonization (DD),Low NatGas Price,1.97
deepdecarbonization_lowngcost,2050,Utility Solar,Deep Decarbonization (DD),Low NatGas Price,0
deepdecarbonization_lowrecost,2030,Nuclear,Deep Decarbonization (DD),Low RE/BESS Cost,1.69
deepdecarbonization_lowrecost,2030,Offshore Wind,Deep Decarbonization (DD),Low RE/BESS Cost,29.47
deepdecarbonization_lowrecost,2030,Utility Solar,Deep Decarbonization (DD),Low RE/BESS Cost,3.46
deepdecarbonization_lowrecost,2040,Nuclear,Deep Decarbonization (DD),Low RE/BESS Cost,0
deepdecarbonization_lowrecost,2040,Offshore Wind,Deep Decarbonization (DD),Low RE/BESS Cost,8.23
deepdecarbonization_lowrecost,2040,Utility Solar,Deep Decarbonization (DD),Low RE/BESS Cost,0
